Location,Replicate,Start_date,Trt,Population
1,1,19,C,1
2,1,19,C,2
3,1,19,C,3
4,1,19,C,4
5,1,19,C,1
6,1,19,C,2
7,1,19,C,3
8,1,19,C,4
9,1,19,P,1
10,1,19,P,2
11,1,19,P,3
12,1,19,P,4
13,1,19,P,1
14,1,19,P,2
15,1,19,P,3
16,1,19,P,4
17,1,19,S,1
18,1,19,S,2
19,1,19,S,3
20,1,19,S,4
21,1,19,S,1
22,1,19,S,2
23,1,19,S,3
24,1,19,S,4
1,2,21,P,1
2,2,21,P,2
3,2,21,P,3
4,2,21,P,4
5,2,21,P,1
6,2,21,P,2
7,2,21,P,3
8,2,21,P,4
9,2,21,S,1
10,2,21,S,2
11,2,21,S,3
12,2,21,S,4
13,2,21,S,1
14,2,21,S,2
15,2,21,S,3
16,2,21,S,4
17,2,21,C,1
18,2,21,C,2
19,2,21,C,3
20,2,21,C,4
21,2,21,C,1
22,2,21,C,2
23,2,21,C,3
24,2,21,C,4
1,3,23,S,1
2,3,23,S,2
3,3,23,S,3
4,3,23,S,4
5,3,23,S,1
6,3,23,S,2
7,3,23,S,3
8,3,23,S,4
9,3,23,C,1
10,3,23,C,2
11,3,23,C,3
12,3,23,C,4
13,3,23,C,1
14,3,23,C,2
15,3,23,C,3
16,3,23,C,4
17,3,23,P,1
18,3,23,P,2
19,3,23,P,3
20,3,23,P,4
21,3,23,P,1
22,3,23,P,2
23,3,23,P,3
24,3,23,P,4
1,4,26,P,4
2,4,26,P,3
3,4,26,P,2
4,4,26,P,1
5,4,26,P,4
6,4,26,P,3
7,4,26,P,2
8,4,26,P,1
9,4,26,S,4
10,4,26,S,3
11,4,26,S,2
12,4,26,S,1
13,4,26,S,4
14,4,26,S,3
15,4,26,S,2
16,4,26,S,1
17,4,26,C,4
18,4,26,C,3
19,4,26,C,2
20,4,26,C,1
21,4,26,C,4
22,4,26,C,3
23,4,26,C,2
24,4,26,C,1
1,5,28,S,4
2,5,28,S,3
3,5,28,S,2
4,5,28,S,1
5,5,28,S,4
6,5,28,S,3
7,5,28,S,2
8,5,28,S,1
9,5,28,C,4
10,5,28,C,3
11,5,28,C,2
12,5,28,C,1
13,5,28,C,4
14,5,28,C,3
15,5,28,C,2
16,5,28,C,1
17,5,28,P,4
18,5,28,P,3
19,5,28,P,2
20,5,28,P,1
21,5,28,P,4
22,5,28,P,3
23,5,28,P,2
24,5,28,P,1
