"Day"	"Phase"	"Vial"	"Observer"	"C_dur"	"P_court"	"Time"	"Session"	"Trt"	"Population"
1	"Dark"	1	"R"	3	0.00333333333333333	8	1	"C"	1
1	"Dark"	2	"A"	28	0.0311111111111111	8	1	"P"	1
1	"Dark"	3	"A"	88	0.0977777777777778	8	1	"S"	1
1	"Dark"	4	"A"	0	0	8	1	"C"	2
1	"Dark"	5	"R"	9	0.01	8	1	"P"	2
1	"Dark"	6	"R"	113	0.125555555555556	8	1	"S"	2
1	"Dark"	7	"R"	0	0	8	1	"C"	3
1	"Dark"	8	"R"	4	0.00444444444444444	8	1	"P"	3
1	"Dark"	9	"A"	5	0.00555555555555556	8	2	"S"	3
1	"Dark"	10	"A"	0	0	8	2	"C"	4
1	"Dark"	11	"A"	36	0.04	8	2	"P"	4
1	"Dark"	12	"A"	147	0.163333333333333	8	2	"S"	4
1	"Dark"	13	"R"	0	0	8	2	"C"	1
1	"Dark"	14	"R"	12	0.0133333333333333	8	2	"P"	1
1	"Dark"	15	"R"	8	0.00888888888888889	8	2	"S"	1
1	"Dark"	16	"R"	91	0.101111111111111	8	2	"C"	2
1	"Dark"	17	"A"	3	0.00333333333333333	8	3	"P"	2
1	"Dark"	18	"A"	320	0.355555555555556	8	3	"S"	2
1	"Dark"	19	"A"	22	0.0244444444444444	8	3	"C"	3
1	"Dark"	20	"A"	140	0.155555555555556	8	3	"P"	3
1	"Dark"	21	"R"	18	0.02	8	3	"S"	3
1	"Dark"	22	"R"	67	0.0744444444444444	8	3	"C"	4
1	"Dark"	23	"R"	137	0.152222222222222	8	3	"P"	4
1	"Dark"	24	"R"	30	0.0333333333333333	8	3	"S"	4
2	"Dark"	1	"A"	0	0	8	1	"S"	4
2	"Dark"	2	"A"	171	0.19	8	1	"P"	4
2	"Dark"	3	"A"	72	0.08	8	1	"C"	4
2	"Dark"	4	"A"	12	0.0133333333333333	8	1	"S"	3
2	"Dark"	5	"R"	7	0.00777777777777778	8	1	"P"	3
2	"Dark"	6	"R"	64	0.0711111111111111	8	1	"C"	3
2	"Dark"	7	"R"	33	0.0366666666666667	8	1	"S"	2
2	"Dark"	8	"R"	30	0.0333333333333333	8	1	"P"	2
2	"Dark"	9	"A"	6	0.00666666666666667	8	2	"C"	2
2	"Dark"	10	"A"	187	0.207777777777778	8	2	"S"	1
2	"Dark"	11	"A"	174	0.193333333333333	8	2	"P"	1
2	"Dark"	12	"A"	242	0.268888888888889	8	2	"C"	1
2	"Dark"	13	"R"	81	0.09	8	2	"S"	4
