Vial,Treatment,Rep,AgeBin,CourtshipLatency,CopulationLatency,CopulationDuration,Copulation,Date,Temperature,Humidity,StartTime,Bin2,Bin3,Bin4,FinishSetUp,EndTime
1,LTP,1,1,10:38:00,10:41,11:04,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
2,LTP,2,1,10:58,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
3,LTP,3,1,9:09,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
4,LTP,4,1,9:09,10:21,10:43,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
5,LTS,1,1,10:16,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
6,LTS,2,1,9:15,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
7,LTS,3,1,9:21,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
8,LTS,4,1,,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
9,LTC,1,1,9:12,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
10,LTC,2,1,9:12,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
11,LTC,3,1,10:46,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
12,LTC,4,1,9:30,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
13,LTP,1,2,9:25,9:51,10:14,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
14,LTP,2,2,9:29,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
15,LTP,3,2,9:43,10:08,10:22,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
16,LTP,4,2,,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
17,LTS,1,2,9:49,10:12,10:31,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
18,LTS,2,2,10:01,10:35,10:58,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
19,LTS,3,2,9:54,10:07,10:31,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
20,LTS,4,2,9:35,9:39,10:03,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
21,LTC,1,2,9:26,9:39,9:59,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
22,LTC,2,2,9:28,9:55,10:22,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
23,LTC,3,2,9:23,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
24,LTC,4,2,9:23,9:42,10:04,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
25,LTP,1,3,9:33,9:37,10:00,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
26,LTP,2,3,9:44,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
27,LTP,3,3,9:35,10:09,10:34,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
28,LTP,4,3,9:45,9:57,10:14,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
29,LTS,1,3,9:39,9:42,10:11,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
30,LTS,2,3,10:24,10:24,10:55,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
31,LTS,3,3,9:34,9:39,9:40,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
32,LTS,4,3,9:28,9:33,9:57,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
33,LTC,1,3,9:41,9:45,10:06,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
34,LTC,2,3,9:28,10:42,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
35,LTC,3,3,9:33,,,0,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
36,LTC,4,3,9:34,10:13,10:39,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
37,LTP,1,4,9:35,9:45,10:12,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
38,LTP,2,4,9:35,9:45,10:10,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
39,LTP,3,4,9:33,10:08,10:23,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
40,LTP,4,4,9:38,9:56,10:25,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
41,LTS,1,4,9:59,9:59,10:25,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
42,LTS,2,4,9:55,9:55,10:17,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
43,LTS,3,4,9:39,10:03,10:30,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
44,LTS,4,4,9:35,9:36,9:58,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
45,LTC,1,4,9:34,9:30,10:03,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
46,LTC,2,4,9:44,10:08,10:34,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
47,LTC,3,4,9:59,10:03,10:29,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
48,LTC,4,4,9:53,9:54,10:20,1,7/11/14,22,71,9:03,9:13,9:18,9:25,,11:04
1,LTP,1,1,10:06:00,,,0,7/15/14,22,65,9:08,9:14,9:20,,,11:25
