""	""	""	""	""	""	""	""	""	"Light"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"C"	"C"	"C"	"C"	"C"	"SF"	"SF"	"SF"	"SF"	"SF"	"SF"	"SF"	"SC"	"SC"	"SC"	"SC"	"SC"	"SC"	"SC"	"SC"
8	2016-06-15	1899-12-30 12:11:00	1	0	0	0	0	0	1	0	5	7	3	0	4	4	2	0	3	6	2	7	4	1	7	1	5	5	7	5	6	5	1	10	7	0
9	2016-06-15	1899-12-30 12:12:00	1	0	0	0	0	0	1	3	5	0	5	5	0	5	1	0	3	4	2	6	3	3	2	3	0	2	7	4	5	4	2	12	2	6
10	2016-06-15	1899-12-30 12:13:00	1	0	0	0	0	0	1	12	3	2	0	2	4	5	3	3	4	3	1	9	2	3	0	5	4	6	7	8	2	4	0	6	0	0
11	2016-06-15	1899-12-30 12:14:00	1	0	0	0	0	0	1	0	2	0	0	3	10	4	4	3	4	4	3	5	2	6	0	2	5	3	2	3	5	3	6	8	6	0
12	2016-06-15	1899-12-30 12:15:00	1	0	0	0	0	0	1	0	7	6	1	6	2	7	7	3	10	4	1	6	5	6	4	3	5	4	10	6	3	2	8	4	10	3
13	2016-06-15	1899-12-30 12:16:00	1	0	0	0	0	0	1	0	2	2	2	5	3	3	7	5	4	5	0	7	4	5	5	8	5	3	2	7	3	2	1	4	0	3
14	2016-06-15	1899-12-30 12:17:00	1	0	0	0	0	0	1	0	0	3	3	0	0	3	4	3	2	2	0	9	2	0	0	2	4	5	6	5	3	8	3	7	5	0
15	2016-06-15	1899-12-30 12:18:00	1	0	0	0	0	0	1	0	2	6	0	0	2	8	4	0	2	5	0	7	2	4	8	2	3	7	5	8	1	4	4	5	2	3
16	2016-06-15	1899-12-30 12:19:00	1	0	0	0	0	0	1	0	4	2	2	0	5	9	2	4	4	0	0	8	2	6	1	4	2	2	4	2	1	6	1	1	3	3
17	2016-06-15	1899-12-30 12:20:00	1	0	0	0	0	0	1	0	4	2	0	0	3	1	2	5	4	3	0	6	3	0	0	5	2	4	9	3	6	3	7	4	7	0
18	2016-06-15	1899-12-30 12:21:00	1	0	0	0	0	0	1	0	4	3	1	2	4	5	7	2	2	2	2	5	3	0	0	5	3	3	7	7	5	2	3	0	6	0
19	2016-06-15	1899-12-30 12:22:00	1	0	0	0	0	0	1	0	5	5	3	0	2	8	2	1	1	6	2	4	9	5	3	5	3	1	2	8	4	5	0	1	6	0
20	2016-06-15	1899-12-30 12:23:00	1	0	0	0	0	0	1	0	4	2	0	5	4	10	3	1	4	2	3	7	5	1	6	0	20	2	3	6	2	2	5	3	5	0
21	2016-06-15	1899-12-30 12:24:00	1	0	0	0	0	0	1	0	2	6	0	0	0	4	5	2	3	5	2	6	3	2	4	4	4	6	8	3	1	2	2	4	1	0
22	2016-06-15	1899-12-30 12:25:00	1	0	0	0	0	0	1	0	3	2	0	3	1	11	1	2	2	4	2	3	2	0	0	6	4	5	3	6	1	3	0	3	2	0
23	2016-06-15	1899-12-30 12:26:00	1	0	0	0	0	0	1	0	7	6	0	1	2	0	4	2	3	4	4	8	3	0	0	1	5	2	0	5	0	5	0	4	0	0
24	2016-06-15	1899-12-30 12:27:00	1	0	0	0	0	0	1	0	4	2	0	0	2	2	5	3	6	2	4	7	3	0	0	4	3	1	2	6	0	2	0	4	0	0
