""	""	""	""	""	""	""	""	""	"Light"	"M1"	"M2"	"M3"	"M4"	"M5"	"M6"	"M7"	"M8"	"M9"	"M10"	"M11"	"M12"	"M13"	"M14"	"M15"	"M16"	"M17"	"M18"	"M19"	"M20"	"M21"	"M22"	"M23"	"M24"	"M25"	"M26"	"M27"	"M28"	"M29"	"M30"	"M31"	"M32"
2	2016-06-23	1899-12-30 08:05:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
3	2016-06-23	1899-12-30 08:06:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4	2016-06-23	1899-12-30 08:07:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
5	2016-06-23	1899-12-30 08:08:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2016-06-23	1899-12-30 08:09:00	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
7	2016-06-23	1899-12-30 08:10:00	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2016-06-23	1899-12-30 08:11:00	1	0	0	0	0	0	0	0	0	0	29	0	0	0	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
9	2016-06-23	1899-12-30 08:12:00	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
10	2016-06-23	1899-12-30 08:13:00	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0
11	2016-06-23	1899-12-30 08:14:00	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	0	0	0
12	2016-06-23	1899-12-30 08:15:00	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0	0	0	21	4	0	0	0	0	0	1	7	0	0	0	0	0	13	0	0	0	0	0
13	2016-06-23	1899-12-30 08:16:00	1	0	0	0	0	0	0	0	0	0	5	0	6	0	0	7	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	2	0	0	0
14	2016-06-23	1899-12-30 08:17:00	1	0	0	0	0	0	0	0	0	0	31	0	1	0	0	4	0	0	0	11	0	0	0	0	0	0	13	0	0	0	0	0	0	13	0	2	0	0	0
15	2016-06-23	1899-12-30 08:18:00	1	0	0	0	0	0	0	0	0	0	46	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	22	0	3	0	0	0
16	2016-06-23	1899-12-30 08:19:00	1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	13	0	0	0	0	0
17	2016-06-23	1899-12-30 08:20:00	1	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	6	0	0	0	0	0	0	15	0	0	0	0	0
18	2016-06-23	1899-12-30 08:21:00	1	0	0	0	0	0	0	0	0	0	48	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	12	0	0	0
19	2016-06-23	1899-12-30 08:22:00	1	0	0	0	0	0	0	0	0	0	13	2	6	0	1	10	0	0	2	4	0	0	0	0	0	0	4	0	0	0	0	0	0	12	0	15	0	0	0
20	2016-06-23	1899-12-30 08:23:00	1	0	0	0	0	0	0	0	0	0	11	0	6	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	0	0
21	2016-06-23	1899-12-30 08:24:00	1	0	0	0	0	0	0	0	0	0	53	2	2	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0
22	2016-06-23	1899-12-30 08:25:00	1	0	0	0	0	0	0	0	0	0	14	8	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	16	0	0	0
23	2016-06-23	1899-12-30 08:26:00	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	4	0	0	0	0	0	40	0	7	0	0	0
24	2016-06-23	1899-12-30 08:27:00	1	0	0	0	0	0	0	0	0	0	14	0	3	0	1	0	0	0	0	31	0	0	0	0	0	0	0	3	0	0	0	0	0	27	0	0	0	0	0
25	2016-06-23	1899-12-30 08:28:00	1	0	0	0	0	0	0	0	0	0	0	10	9	0	1	0	0	0	0	19	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
26	2016-06-23	1899-12-30 08:29:00	1	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0
27	2016-06-23	1899-12-30 08:30:00	1	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
28	2016-06-23	1899-12-30 08:31:00	1	0	0	0	0	0	0	0	0	0	1	10	4	0	21	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
29	2016-06-23	1899-12-30 08:32:00	1	0	0	0	0	0	0	0	0	0	1	0	13	0	7	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	25	8	1	0	0	0
30	2016-06-23	1899-12-30 08:33:00	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	17	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	0	0
31	2016-06-23	1899-12-30 08:34:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
